prop_Hacker,prop_H1,nmin,nmax,stepsize,d,het,p1,p2,p3,p4,p5,k_sig,k
1,0,177,444,10,0,0,0.0718409236690186,0.0692751763951251,0.13855035279025,0.276459268762027,0.443874278383579,1559,10000
0.1,0,8,1063,10,0,0,0.13599062133646,0.17936694021102,0.169988276670574,0.221570926143025,0.293083235638921,853,10000
0.25,0,8,1063,10,0,0,0.0858400586940572,0.132795304475422,0.173881144534116,0.240645634629494,0.366837857666911,1363,10000
0.5,0,8,1063,10,0,0,0.0782851817334576,0.10950605778192,0.146318732525629,0.253960857409133,0.41192917054986,2146,10000
0.75,0,8,1063,10,0,0,0.0589812332439678,0.104222520107239,0.14745308310992,0.252345844504021,0.436997319034853,2984,10000
1,0,8,1063,10,0,0,0.0522349272349272,0.0961538461538462,0.148648648648649,0.258835758835759,0.444126819126819,3848,10000
0.1,0,22,1063,10,0,0,0.133333333333333,0.16374269005848,0.168421052631579,0.20233918128655,0.332163742690059,855,10000
0.25,0,22,1063,10,0,0,0.0972886762360447,0.123604465709729,0.152312599681021,0.226475279106858,0.400318979266348,1254,10000
0.5,0,22,1063,10,0,0,0.0722528850978424,0.103361766181636,0.1490215755143,0.241344706472654,0.434019066733567,1993,10000
0.75,0,22,1063,10,0,0,0.056842867487328,0.0941346850108617,0.147719044170891,0.254525706010138,0.446777697320782,2762,10000
1,0,22,1063,10,0,0,0.0461581761891359,0.0841542358570222,0.139318885448916,0.256965944272446,0.47340275823248,3553,10000
0.1,0,50,1063,10,0,0,0.132575757575758,0.159090909090909,0.170454545454545,0.222222222222222,0.315656565656566,792,10000
0.25,0,50,1063,10,0,0,0.0856905158069884,0.105657237936772,0.151414309484193,0.249584026622296,0.40765391014975,1202,10000
0.5,0,50,1063,10,0,0,0.0471436494731004,0.086522462562396,0.149195784803106,0.256794231835829,0.460343871325568,1803,10000
0.75,0,50,1063,10,0,0,0.0409638554216868,0.0779116465863454,0.136947791164659,0.263052208835341,0.481124497991968,2490,10000
1,0,50,1063,10,0,0,0.0337394564198688,0.0684161199625117,0.132146204311153,0.272414870353015,0.493283348953452,3201,10000
0.1,0,177,1063,10,0,0,0.154518950437318,0.15597667638484,0.147230320699708,0.212827988338192,0.329446064139942,686,10000
0.25,0,177,1063,10,0,0,0.115897435897436,0.101538461538462,0.146666666666667,0.227692307692308,0.408205128205128,975,10000
0.5,0,177,1063,10,0,0,0.0781032078103208,0.0746164574616457,0.120641562064156,0.228033472803347,0.49860529986053,1434,10000
